patch_num,patch_size,patch_id,patch_index,patch_location_x,patch_location_y,global_habitat_num,habitat_id,habitat_index,habitat_x_location,habitat_y_location,env_axis1,env_axis2,hab_length,hab_width
64,16,patch1,0,2.0,2.0,1024,h0,0,1,1,0.814145688030523,0.235067021586382,10,10
64,16,patch1,0,2.0,2.0,1024,h1,1,1,2,0.7536174089248243,0.2096470456972762,10,10
64,16,patch1,0,2.0,2.0,1024,h2,2,1,3,0.6751433727853817,0.197685729437552,10,10
64,16,patch1,0,2.0,2.0,1024,h3,3,1,4,0.6251418781091894,0.1949326535234913,10,10
64,16,patch1,0,2.0,2.0,1024,h4,4,2,1,0.7230394245968047,0.2056506767296398,10,10
64,16,patch1,0,2.0,2.0,1024,h5,5,2,2,0.7290456938447454,0.2444621671853333,10,10
64,16,patch1,0,2.0,2.0,1024,h6,6,2,3,0.6403148163068717,0.2377160747592779,10,10
64,16,patch1,0,2.0,2.0,1024,h7,7,2,4,0.5781775914089775,0.2020784426213355,10,10
64,16,patch1,0,2.0,2.0,1024,h8,8,3,1,0.6846821562093666,0.2114174127016578,10,10
64,16,patch1,0,2.0,2.0,1024,h9,9,3,2,0.6897097575110039,0.2671865277310811,10,10
64,16,patch1,0,2.0,2.0,1024,h10,10,3,3,0.703922911079839,0.247652521222115,10,10
64,16,patch1,0,2.0,2.0,1024,h11,11,3,4,0.6102355706187558,0.2139277906689733,10,10
64,16,patch1,0,2.0,2.0,1024,h12,12,4,1,0.7424986448235104,0.1952000870989476,10,10
64,16,patch1,0,2.0,2.0,1024,h13,13,4,2,0.6570118226352241,0.2178926468763441,10,10
64,16,patch1,0,2.0,2.0,1024,h14,14,4,3,0.6647099485675583,0.2083327880736015,10,10
64,16,patch1,0,2.0,2.0,1024,h15,15,4,4,0.6858481729209178,0.1993044431978617,10,10
64,16,patch2,1,2.0,6.0,1024,h0,0,1,5,0.5427220075240536,0.240584451284634,10,10
64,16,patch2,1,2.0,6.0,1024,h1,1,1,6,0.5569867151784262,0.2026635713912476,10,10
64,16,patch2,1,2.0,6.0,1024,h2,2,1,7,0.5894680926462702,0.1995863667194809,10,10
64,16,patch2,1,2.0,6.0,1024,h3,3,1,8,0.5209793990082293,0.2127097963244041,10,10
64,16,patch2,1,2.0,6.0,1024,h4,4,2,5,0.5740213578439355,0.2186822291776939,10,10
64,16,patch2,1,2.0,6.0,1024,h5,5,2,6,0.5740903988272966,0.1763433218198949,10,10
64,16,patch2,1,2.0,6.0,1024,h6,6,2,7,0.5377166805137139,0.1595984276790629,10,10
64,16,patch2,1,2.0,6.0,1024,h7,7,2,8,0.4858663716935829,0.1596137703474706,10,10
64,16,patch2,1,2.0,6.0,1024,h8,8,3,5,0.6386760308246406,0.2047461862966501,10,10
64,16,patch2,1,2.0,6.0,1024,h9,9,3,6,0.6405507495195117,0.2381199832495934,10,10
64,16,patch2,1,2.0,6.0,1024,h10,10,3,7,0.5775200550689673,0.1881529518849848,10,10
64,16,patch2,1,2.0,6.0,1024,h11,11,3,8,0.4584001057612922,0.1782291448783653,10,10
64,16,patch2,1,2.0,6.0,1024,h12,12,4,5,0.6809846534012222,0.1879210690285326,10,10
64,16,patch2,1,2.0,6.0,1024,h13,13,4,6,0.6661247269453876,0.2061618929985641,10,10
64,16,patch2,1,2.0,6.0,1024,h14,14,4,7,0.6400954484596116,0.1363158476549634,10,10
64,16,patch2,1,2.0,6.0,1024,h15,15,4,8,0.4989337544047977,0.1532680827619712,10,10
64,16,patch3,2,2.0,10.0,1024,h0,0,1,9,0.4790094681463539,0.2444544233636439,10,10
64,16,patch3,2,2.0,10.0,1024,h1,1,1,10,0.4259574976913789,0.2086441803044181,10,10
64,16,patch3,2,2.0,10.0,1024,h2,2,1,11,0.3695980783057421,0.2303568527153481,10,10
64,16,patch3,2,2.0,10.0,1024,h3,3,1,12,0.4090565216248085,0.254856567314239,10,10
64,16,patch3,2,2.0,10.0,1024,h4,4,2,9,0.4711646425653286,0.2189148372664406,10,10
64,16,patch3,2,2.0,10.0,1024,h5,5,2,10,0.3505914016667394,0.169283933600151,10,10
64,16,patch3,2,2.0,10.0,1024,h6,6,2,11,0.3356732464829653,0.1908647751828786,10,10
64,16,patch3,2,2.0,10.0,1024,h7,7,2,12,0.4296178775947611,0.1965630497673998,10,10
64,16,patch3,2,2.0,10.0,1024,h8,8,3,9,0.4604961833746022,0.1896638882886675,10,10
64,16,patch3,2,2.0,10.0,1024,h9,9,3,10,0.4022765025490391,0.1981692583858568,10,10
64,16,patch3,2,2.0,10.0,1024,h10,10,3,11,0.346371393719616,0.2111581183971208,10,10
64,16,patch3,2,2.0,10.0,1024,h11,11,3,12,0.456814157552338,0.252932164142125,10,10
64,16,patch3,2,2.0,10.0,1024,h12,12,4,9,0.4104716390431058,0.1760022866622662,10,10
64,16,patch3,2,2.0,10.0,1024,h13,13,4,10,0.3956831812751472,0.2191066983252006,10,10
64,16,patch3,2,2.0,10.0,1024,h14,14,4,11,0.3382045839519686,0.2149993054433155,10,10
64,16,patch3,2,2.0,10.0,1024,h15,15,4,12,0.374675012622099,0.2676937236411943,10,10
64,16,patch4,3,2.0,14.0,1024,h0,0,1,13,0.381805300147835,0.2188087710661707,10,10
64,16,patch4,3,2.0,14.0,1024,h1,1,1,14,0.4810926044710262,0.2066172282984192,10,10
64,16,patch4,3,2.0,14.0,1024,h2,2,1,15,0.4574885491276148,0.2465935822782342,10,10
64,16,patch4,3,2.0,14.0,1024,h3,3,1,16,0.3884322754377872,0.2490452737805044,10,10
64,16,patch4,3,2.0,14.0,1024,h4,4,2,13,0.3606261664337602,0.2278762207341496,10,10
64,16,patch4,3,2.0,14.0,1024,h5,5,2,14,0.3981488597438346,0.1903181345594514,10,10
64,16,patch4,3,2.0,14.0,1024,h6,6,2,15,0.434415036977928,0.2291345482343875,10,10
